hugheri01,Alfredrick Hughes,1986,0,,,
johnsal02,Alize Johnson,-,0,,,
bristal01,Allan Bristow,1974-1983,0,,,
houstal01,Allan Houston,1994-2005,0,,,
rayal01,Allan Ray,2007,0,,,
crabbal01,Allen Crabbe,2014-2018,1,,,
iversal01,Allen Iverson,1997-2010,0,,,
leaveal01,Allen Leavell,1980-1989,0,,,
murphal01,Allen Murphy,1976-1977,0,,,
mcguial02,Allie McGuire,1974,0,,,
trieral01,Allonzo Trier,-,0,,,
bradlal01,Alonzo Bradley,1978-1980,0,,,
geeal01,Alonzo Gee,2010-2017,0,,,
mournal01,Alonzo Mourning,1993-2008,0,,,
kabaal01,Alpha Kaba,-,0,,,
fordal01,Alphonso Ford,1994-1995,0,,,
fordal02,Alton Ford,2002-2004,0,,,
listeal01,Alton Lister,1982-1998,0,,,
adamsal01,Alvan Adams,1976-1988,0,,,
heggsal01,Alvin Heggs,1996,0,,,
jonesal01,Alvin Jones,2002,0,,,
roberal01,Alvin Robertson,1985-1996,0,,,
scottal01,Alvin Scott,1978-1985,0,,,
simsal01,Alvin Sims,1999,0,,,
willial02,Alvin Williams,1998-2007,0,,,
mccasam01,Amal McCaskill,1997-2004,0,,,
stoudam01,Amar'e Stoudemire,2003-2016,0,,,
mbayeam01,Amath M'Baye,-,0,,,
brimaam01,Amida Brimah,-,0,,,
jeffeam01,Amile Jefferson,-,0,,,
johnsam01,Amir Johnson,2006-2018,1,,,
varejan01,Anderson Varejao,2005-2017,0,,,
pattean01,Andrae Patterson,1999-2000,0,,,
blatcan01,Andray Blatche,2006-2014,0,,,
barrean01,Andre Barrett,2005-2008,0,,,
brownan01,Andre Brown,2007-2009,0,,,
dawkian01,Andre Dawkins,2015,0,,,
drumman01,Andre Drummond,2013-2018,1,,,
emmetan01,Andre Emmett,2005-2012,0,,,
iguodan01,Andre Iguodala,2005-2018,1,,,
ingraan01,Andre Ingram,2018,1,,,
mccaran01,Andre McCarter,1977-1981,0,,,
millean02,Andre Miller,2000-2016,0,,,
moorean01,Andre Moore,1988,0,,,
owensan01,Andre Owens,2006-2008,0,,,
roberan03,Andre Roberson,2014-2018,1,,,
spencan01,Andre Spencer,1993-1994,0,,,
turnean01,Andre Turner,1987-1992,0,,,
wakefan01,Andre Wakefield,1979-1980,0,,,
bargnan01,Andrea Bargnani,2007-2016,0,,,
glynian01,Andreas Glyniadakis,2007,0,,,
kirilan01,Andrei Kirilenko,2002-2015,0,,,
milutan01,Andreja Milutinovic,-,0,,,
guibean01,Andres Guibert,1994-1995,0,,,
nocioan01,Andres Nocioni,2005-2012,0,,,
anderan01,Andrew Anderson,1968-1970,0,,,
andrean01,Andrew Andrews,-,0,,,
bogutan01,Andrew Bogut,2006-2018,1,,,
bynuman01,Andrew Bynum,2006-2014,0,,,
declean01,Andrew DeClercq,1996-2005,0,,,
gazean01,Andrew Gaze,1994-1999,0,,,
goudean01,Andrew Goudelock,2012-2016,0,,,
harrian01,Andrew Harrison,2017-2018,1,,,
langan01,Andrew Lang,1989-2000,0,,,
lawrean01,Andrew Lawrence,-,0,,,
levanan01,Andrew Levane,1949-1953,0,,,
nichoan01,Andrew Nicholson,2013-2017,1,,,
smithan01,Andrew Smith,-,0,,,
toneyan01,Andrew Toney,1981-1988,0,,,
whitean01,Andrew White,2018,1,,,
wiggian01,Andrew Wiggins,2015-2018,1,,,
biedran01,Andris Biedrins,2005-2014,0,,,
duncaan01,Andy Duncan,1949-1951,0,,,
johnsan01,Andy Johnson,1959-1962,0,,,
kostean01,Andy Kostecka,1949,0,,,
odonnan01,Andy O'Donnell,1950,0,,,
pankoan01,Andy Panko,2001,0,,,
phillan01,Andy Phillip,1948-1958,0,,,
rautian01,Andy Rautins,2011,0,,,
tonkoan01,Andy Tonkovich,1949,0,,,
toolsan01,Andy Toolson,1991-1996,0,,,
walkean01,Andy Walker,1977,0,,,
hardaan01,Anfernee Hardaway,1994-2008,0,,,
simonan01,Anfernee Simons,-,0,,,
delgaan01,Angel Delgado,-,0,,,
musian01,Angelo Musi,1947-1949,0,,,
sharpan01,Angelo Sharpless,-,0,,,
truitan01,Ansley Truitt,1973,0,,,
sesayan01,Ansu Sesay,2002-2005,0,,,
jamisan01,Antawn Jamison,1999-2014,0,,,
tomican01,Ante Tomic,-,0,,,
zizican01,Ante Zizic,2018,1,,,
aventan01,Anthony Avent,1993-2000,0,,,
bennean01,Anthony Bennett,2014-2017,1,,,
bonnean01,Anthony Bonner,1991-1996,0,,,
bowiean01,Anthony Bowie,1989-1998,0,,,
brownan02,Anthony Brown,2016-2018,1,,,
cartean01,Anthony Carter,2000-2012,0,,,
cookan01,Anthony Cook,1991-1996,0,,,
davisan02,Anthony Davis,2013-2018,1,,,
fredean01,Anthony Frederick,1989-1992,0,,,
goldwan01,Anthony Goldwire,1996-2006,0,,,
grundan01,Anthony Grundy,2006,0,,,
johnsan02,Anthony Johnson,1998-2010,0,,,
jonesan01,Anthony Jones,1987-1990,0,,,
marshan01,Anthony Marshall,-,0,,,
masonan01,Anthony Mason,1990-2003,0,,,
millean01,Anthony Miller,1995-2005,0,,,
morroan01,Anthony Morrow,2009-2017,1,,,
parkean01,Anthony Parker,1998-2012,0,,,
peelean01,Anthony Peeler,1993-2005,0,,,
pullaan01,Anthony Pullard,1993,0,,,
randoan01,Anthony Randolph,2009-2014,0,,,
roberan02,Anthony Roberson,2006-2009,0,,,
roberan01,Anthony Roberts,1978-1984,0,,,
tayloan01,Anthony Taylor,1989,0,,,
tollian01,Anthony Tolliver,2009-2018,1,,,
tuckean01,Anthony Tucker,1995,0,,,
carran01,Antoine Carr,1985-2000,0,,,
rigauan01,Antoine Rigaudeau,2003,0,,,
walkean02,Antoine Walker,1997-2008,0,,,
wrighan01,Antoine Wright,2006-2011,0,,,
anderan02,Antonio Anderson,2010,0,,,
blakean01,Antonio Blakeney,2018,1,,,
burksan01,Antonio Burks,2005-2006,0,,,
daniean01,Antonio Daniels,1998-2011,0,,,
davisan01,Antonio Davis,1994-2006,0,,,
harvean01,Antonio Harvey,1994-2003,0,,,
langan02,Antonio Lang,1995-2000,0,,,
mcdyean01,Antonio McDyess,1996-2011,0,,,
fotsian01,Antonis Fotsis,2002,0,,,
clevean01,Antonius Cleveland,2018,1,,,
pasecan01,Anzejs Pasecniks,-,0,,,
clarkar01,Archie Clark,1967-1976,0,,,
deesar01,Archie Dees,1959-1962,0,,,
goodwar01,Archie Goodwin,2014-2017,1,,,
maughar01,Ariel Maughan,1947-1951,0,,,
onuakar01,Arinze Onuaku,2014-2017,1,,,
curear01,Armand Cure,1947,0,,,
gilliar01,Armen Gilliam,1988-2000,0,,,
johnsar02,Armon Johnson,2011-2012,0,,,
hillar01,Armond Hill,1977-1984,0,,,
moultar01,Arnett Moultrie,2013-2014,0,,,
ferriar01,Arnie Ferrin,1949-1951,0,,,
johnsar01,Arnie Johnson,1949-1953,0,,,
risenar01,Arnie Risen,1949-1958,0,,,
kulboar01,Arnoldas Kulboka,-,0,,,
baynear01,Aron Baynes,2013-2018,1,,,
afflaar01,Arron Afflalo,2008-2018,1,,,
kazemar01,Arsalan Kazemi,-,0,,,
burriar01,Art Burris,1951-1952,0,,,
colliar01,Art Collins,1981,0,,,
harriar01,Art Harris,1969-1972,0,,,
heymaar01,Art Heyman,1964-1970,0,,,
hillhar01,Art Hillhouse,1947-1948,0,,,
longar01,Art Long,2001-2003,0,,,
spectar01,Art Spector,1947-1950,0,,,
spoelar01,Art Spoelstra,1955-1958,0,,,
stolkar01,Art Stolkey,1947,0,,,
williar01,Art Williams,1968-1975,0,,,
beckear01,Arthur Becker,1968-1973,0,,,
gilmoar01,Artis Gilmore,1972-1988,0,,,
gudaiar01,Arturas Gudaitis,-,0,,,
kellyar01,Arvesta Kelly,1968-1972,0,,,
kramear01,Arvid Kramer,1980,0,,,
macijar01,Arvydas Macijauskas,2006,0,,,
sabonar01,Arvydas Sabonis,1996-2003,0,,,
amayaas01,Ashraf Amaya,1996-1997,0,,,
jonesas01,Askia Jones,1995,0,,,
majokat01,Ater Majok,-,0,,,
davisau01,Aubrey Davis,1947,0,,,
brindau01,Aud Brindley,1947,0,,,
norriau01,Audie Norris,1983-1985,0,,,
perryau01,Aulcie Perry,1975,0,,,
carrau01,Austin Carr,1972-1981,0,,,
croshau01,Austin Croshere,1998-2009,0,,,
dayeau01,Austin Daye,2010-2015,0,,,
riverau01,Austin Rivers,2013-2018,1,,,
bradlav01,Avery Bradley,2011-2018,1,,,
johnsav01,Avery Johnson,1989-2004,0,,,
storeaw01,Awvee Storey,2005-2008,0,,,
herveax01,Axel Hervelle,-,0,,,
toupaax01,Axel Toupane,2016-2017,1,,,
armstbj01,B.J. Armstrong,1990-2000,0,,,
tylerbj01,B.J. Tyler,1995,0,,,
youngbj01,B.J. Young,-,0,,,
howelba01,Bailey Howell,1960-1971,0,,,
adebaba01,Bam Adebayo,2018,1,,,
cableba01,Barney Cable,1959-1964,0,,,
davisba01,Baron Davis,2000-2012,0,,,
clemeba01,Barry Clemens,1966-1976,0,,,
krameba01,Barry Kramer,1965-1970,0,,,
lieboba01,Barry Liebowitz,1968,0,,,
nelsoba01,Barry Nelson,1972,0,,,
ormsba01,Barry Orms,1969-1970,0,,,
